videoId,likes/dislikes
xnen1RzgzFc,17.197802197802197
jtGKfCzU9gg,17.756119951040393
wkW2klTojPU,43.8719387755102
dMlG9REYnME,15.85304054054054
h0pVEoQ9sqw,4.244035446489434
C_0qCrZW4kY,5.2102117377758
8bM9d82CkuE,2.555951585356798
CQxdzSD_2gc,10.777777777777779
G-eCB6R5tCM,12.986063218390804
LPMG-Qvl-7E,18.120218579234972
f6ZSZbNfSpk,12.87552585993566
qKFiPAZ5Khw,11.757936507936508
LRN-IrejBTw,7.915075964160499
v9J8U4YcosE,7.842732327243844
5TyPemAJCQI,36.53950953678474
anV3VcMB284,21.2723185613359
opqZAXJ4t0o,19.01766784452297
o5D23snn5so,4.958974358974359
J-zBKlvJqJk,12.634664948453608
zjVOKsjsEmo,25.355509355509355
VFqLy27OSd4,2.242677139584356
uYNkip68dig,12.563897763578275
GFqlwAWuMTg,27.052380952380954
on5E-Fw86Yk,19.235186316432497
VwwMzuiSEH0,7.2436609934004865
4ubOaIhlRX0,3.762675036214389
Xwh8kWuire8,1.9993994977617644
x5VOvhqUEbk,3.313012895662368
mDpgzn7KuzE,14.581269841269842
rfoatg2_5LY,3.9469887076537016
iCkYw3cRwLo,15.727819925188346
